Value,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
100n,Capacitor SMD 0603 50V,"C1, C2, C4, C8, C11, C12, C13",CAP_0603,CAP_0603_50V,7,C14663
22u,Capacitor SMD 1210 10V,"C3, C5, C6, C7, C9, C10",CAP_1210,CAP_1210_10V,6,C52306
10p,Capacitor SMD 0603 50V,"C14, C15",CAP_0603,CAP_0603_50V,2,C1634
33p,Capacitor SMD 0603 50V,C16,CAP_0603,CAP_0603_50V,1,C1663
330p,Capacitor SMD 0603 50V,"C17, C18",CAP_0603,CAP_0603_50V,2,C1664
4n7,Capacitor SMD 0603 50V,C19,CAP_0603,CAP_0603_50V,1,C53987
GREEN,LED 0402 GREEN SMD,"D1, D2",LED_0402_GREEN,LED_0402_GREEN,2,C130722
NFL18ST507X1C3D,LC combined filters 25pF 110nH 200MHz 16Vdc 150mA 0603,EM1,FP-NFL18ST-MFG,CMP-06051-000283-1,1,C140836
120R,Ferrite Bead SMD 0603,FB1,FB_0603,FB_0603,1,C14709
473460001,CONN RCPT USB2.0 MICRO B SMD R/A,J1,FP-473460001-MFG,CMP-2000-05246-2,1,C132560
47u,Power Inductor SMD Sunlord MWSA0603S,"L1, L2",MWSA0603S,MWSA0603S,2,C408455
220n,Inductor SMD 0603,"L3, L4",IND_0603,IND_0603,2,C22476
10k,Resistor SMD 0603,"R1, R5",RES_0603,RES_0603,2,C25804
75k,Resistor SMD 0603,"R2, R6",RES_0603,RES_0603,2,C23242
24k,Resistor SMD 0603,"R3, R7",RES_0603,RES_0603,2,C23352
1k,Resistor SMD 0603,"R4, R8, R9, R10, R11, R12, R13, R15, R17, R19, R20, R21",RES_0603,RES_0603,12,C21190
49R9,Resistor SMD 0603,"R14, R16, R18",RES_0603,RES_0603,3,C23185
1M,Resistor SMD 0603,R22,RES_0603,RES_0603,1,C22935
TP6841S6,40V 0.8A 800kHz Synchronous Step-Down Converter,"U1, U2",SOT-23-6,TP6841S6,2,C2844736
STM32F030F4P6TR,"ARM Cortex-M0 32-bit MCU, 16 KB Flash, 4 KB Internal RAM, 15 I/Os, 20-Pin TSSOP, -40 to 85 degC, Tape and Reel",U3,STM-TSSOP20_M,CMP-0304-00066-2,1,C89040
8MHz,Crystal SMD 8MHz 10PPM 7pF 3225,Y1,XTAL_3225,TSX-3225_24.0000MF15X-AC,1,C400090
